Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | M5S | Lega | PD | FI | FdI | LS | PaP | +Eu | NcI | CPI | C! | EV | Az | IV | SI | Art.1 | CI | Italexit | IpF | IC | AVS | NM | UP | ISP | DSP | Other
Index Research | Giornale Radio | 2023-10-18 | 2023-10-19 | N | 800 | N/A | 0.1 | 17.0 | 10.1 | 19.6 | 6.0 | 29.6 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 4.1 | 2.5 | N/A | N/A | N/A | 1.7 | N/A | N/A | 3.8 | N/A | N/A | N/A | N/A | 3.1
Lab2101 | Affari Italiani | 2023-10-15 | 2023-10-19 | N | 1000 | N/A | 0.1 | 16.4 | 11.2 | 19.3 | 5.8 | 29.3 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 3.6 | 3.4 | N/A | N/A | N/A | 2.5 | N/A | N/A | 4.0 | 0.5 | N/A | N/A | N/A | 1.6
Demopolis | N/A | 2023-10-17 | 2023-10-18 | N | 2000 | N/A | 0.1 | 16.2 | 9.8 | 20.0 | 6.5 | 29.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.4 | N/A | N/A | N/A | N/A | 4.7
Eumetra | La7 | 2023-10-17 | 2023-10-18 | N | 800 | N/A | 1 | 16.0 | 10.0 | 19.0 | 7.0 | 28.0 | N/A | N/A | 3.0 | N/A | N/A | N/A | N/A | 4.0 | 3.0 | N/A | N/A | N/A | 2.0 | N/A | N/A | 4.0 | 1.0 | N/A | N/A | N/A | 3.0
EMG | Rai 3 | 2023-10-17 | 2023-10-18 | N | N/A | N/A | 0.1 | 16.0 | 9.5 | 19.0 | 7.6 | 27.2 | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | 4.1 | 4.2 | N/A | N/A | N/A | 2.7 | N/A | N/A | 3.3 | 1.2 | 1.0 | N/A | N/A | 1.6
Noto Sondaggi | Rai 1 | 2023-10-17 | 2023-10-17 | N | N/A | N/A | 0.5 | 17.5 | 10.5 | 19.5 | 7.5 | 28.0 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | 3.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | 3.0 | 1.5 | N/A | N/A | N/A | 4.5
Piepoli | N/A | 2023-10-17 | 2023-10-17 | N | N/A | N/A | 0.5 | 16.0 | 8.5 | 20.0 | 6.0 | 29.0 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 4.0 | 3.5 | N/A | N/A | N/A | 2.0 | N/A | N/A | 4.0 | 1.5 | N/A | N/A | N/A | 3.0
Quorum – YouTrend | Sky TG24 | 2023-10-13 | 2023-10-17 | N | 803 | N/A | 0.1 | 14.4 | 8.8 | 19.9 | 6.3 | 30.0 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | 3.8 | 3.1 | N/A | N/A | N/A | 2.3 | N/A | N/A | 3.6 | 1.3 | N/A | N/A | N/A | 4.3
SWG | La7 | 2023-10-11 | 2023-10-16 | N | 1200 | N/A | 0.1 | 16.1 | 10.2 | 19.6 | 6.4 | 28.4 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 4.0 | 2.5 | N/A | N/A | N/A | 1.8 | N/A | N/A | 3.6 | 1.0 | 1.4 | N/A | N/A | 2.5
Tecnè | Agenzia Dire | 2023-10-12 | 2023-10-13 | N | 1000 | N/A | 0.1 | 16.3 | 9.2 | 19.6 | 10.1 | 28.8 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | 3.6 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A | 4.7
Quorum – YouTrend | Sky TG24 | 2023-10-11 | 2023-10-12 | N | 802 | N/A | 0.1 | 14.9 | 9.3 | 19.7 | 6.3 | 29.6 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | 3.6 | 2.7 | N/A | N/A | N/A | 2.2 | N/A | N/A | 3.7 | 0.9 | N/A | N/A | N/A | 4.9
Termometro Politico | N/A | 2023-10-10 | 2023-10-12 | N | 3800 | N/A | 0.1 | 16.3 | 9.6 | 19.0 | 6.4 | 29.8 | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | 3.6 | 2.6 | N/A | N/A | N/A | 2.3 | N/A | N/A | 2.9 | N/A | 1.5 | N/A | 1.5 | 1.9
Eumetra | La7 | 2023-10-10 | 2023-10-11 | N | 800 | N/A | 0.1 | 16.6 | 9.8 | 19.6 | 7.0 | 28.4 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | 3.8 | 2.9 | N/A | N/A | N/A | 1.8 | N/A | N/A | 3.5 | 0.9 | N/A | N/A | N/A | 3.4
Lab2101 | Affari Italiani | 2023-10-07 | 2023-10-11 | N | 1000 | N/A | 0.1 | 16.6 | 11.1 | 19.4 | 5.9 | 29.3 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | 3.7 | 3.4 | N/A | N/A | N/A | 2.6 | N/A | N/A | 3.9 | 0.4 | N/A | N/A | N/A | 1.4
