Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PP | PSOE | Cs | UP | ERC | Junts | EAJ-PNV | PACMA | EH Bildu | AUN | BNG | Vox | AR | CEUS | PE | Compromís | Sumar | Podemos | CUP | UPN | PRC | EV | Other
SocioMétrica | El Español | 2023-07-02 | 2023-07-09 | N | 800 | N/A | 0.1 | 33.4 | 28.6 | N/A | N/A | 2.4 | 2.0 | 1.4 | N/A | 1.3 | 0.3 | 0.7 | 13.6 | N/A | N/A | N/A | N/A | 13.0 | N/A | 0.6 | 0.3 | N/A | 0.4 | N/A
40dB | Prisa | 2023-07-04 | 2023-07-08 | N | 2000 | N/A | 0.1 | 31.4 | 29.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.7 | N/A | N/A | N/A | N/A | 13.5 | N/A | N/A | N/A | N/A | N/A | N/A
Sondaxe | La Voz de Galicia | 2023-07-04 | 2023-07-08 | N | 1000 | N/A | 0.1 | 31.1 | 27.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.1 | N/A | N/A | N/A | N/A | 13.6 | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo[48] | 2023-07-03 | 2023-07-08 | N | 4506 | N/A | 0.1 | 34.9 | 28.3 | N/A | N/A | 2.1 | 2.0 | 1.1 | N/A | 1.0 | N/A | N/A | 12.8 | N/A | N/A | N/A | N/A | 12.5 | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2023-06-29 | 2023-07-08 | N | 4001 | 70 | 0.1 | 36.3 | 28.8 | N/A | N/A | 2.3 | 1.8 | 1.2 | N/A | 1.3 | 0.4 | 0.5 | 12.3 | N/A | N/A | N/A | N/A | 11.8 | N/A | 0.5 | 0.1 | N/A | 0.1 | N/A
Data10 | OKDiario | 2023-07-05 | 2023-07-07 | N | 1500 | N/A | 0.1 | 34.4 | 25.5 | N/A | N/A | 2.5 | 2.3 | 1.6 | N/A | 1.4 | 0.4 | 0.9 | 14.2 | N/A | N/A | N/A | N/A | 13.0 | N/A | 0.6 | 0.3 | N/A | 0.1 | N/A
40dB | Prisa | 2023-07-04 | 2023-07-07 | N | 1500 | N/A | 0.1 | 31.5 | 29.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.9 | N/A | N/A | N/A | N/A | 13.1 | N/A | N/A | N/A | N/A | N/A | N/A
Target Point | El Debate | 2023-07-04 | 2023-07-07 | N | 1020 | N/A | 0.1 | 34.9 | 28.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.3 | N/A | N/A | N/A | N/A | 12.2 | N/A | N/A | N/A | N/A | N/A | N/A
NC Report | La Razón | 2023-07-03 | 2023-07-07 | N | 1000 | 65.1 | 0.1 | 35.7 | 27.4 | N/A | N/A | 2.8 | 2.1 | 1.4 | N/A | 1.3 | N/A | N/A | 12.6 | N/A | N/A | N/A | N/A | 12.4 | N/A | 0.7 | N/A | N/A | N/A | N/A
Sondaxe | La Voz de Galicia | 2023-07-03 | 2023-07-07 | N | 1000 | N/A | 0.1 | 30.4 | 26.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.6 | N/A | N/A | N/A | N/A | 14.5 | N/A | N/A | N/A | N/A | N/A | N/A
InvyMark | laSexta | 2023-07-03 | 2023-07-07 | N | N/A | N/A | 0.1 | 32.4 | 26.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.3 | N/A | N/A | N/A | N/A | 13.7 | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-07-01 | 2023-07-07 | N | 4533 | N/A | 0.1 | 35.0 | 28.2 | N/A | N/A | 2.2 | 2.0 | 1.1 | N/A | 1.0 | N/A | N/A | 12.8 | N/A | N/A | N/A | N/A | 12.5 | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2023-06-29 | 2023-07-07 | N | 3502 | 70 | 0.1 | 36.3 | 28.9 | N/A | N/A | 2.2 | 1.9 | 1.2 | N/A | 1.3 | 0.4 | 0.5 | 12.1 | N/A | N/A | N/A | N/A | 11.9 | N/A | 0.5 | 0.1 | N/A | 0.1 | N/A
IMOP | El Confidencial | 2023-07-04 | 2023-07-06 | N | 1559 | 70 | 0.1 | 32.9 | 27.7 | N/A | N/A | 2.3 | 2.2 | 1.5 | N/A | 1.3 | 0.3 | 1.0 | 14.2 | N/A | N/A | N/A | N/A | 13.0 | N/A | 0.9 | 0.3 | N/A | 0.1 | N/A
Ipsos | La Vanguardia | 2023-07-03 | 2023-07-06 | N | 2001 | 70 | 0.1 | 35.3 | 28.2 | N/A | N/A | 1.6 | 1.8 | 1.2 | N/A | 1.3 | 0.3 | 0.6 | 12.6 | N/A | N/A | N/A | N/A | 12.9 | N/A | 0.5 | N/A | N/A | 0.3 | N/A
Sigma Dos | El Mundo | 2023-06-30 | 2023-07-06 | N | 4518 | N/A | 0.1 | 34.7 | 28.4 | N/A | N/A | 2.1 | 2.0 | 1.2 | N/A | 1.1 | N/A | N/A | 12.7 | N/A | N/A | N/A | N/A | 12.6 | N/A | N/A | N/A | N/A | N/A | N/A
YouGov | N/A | 2023-06-29 | 2023-07-06 | N | 10480 | N/A | 1 | 31.0 | 28.0 | N/A | N/A | 2.0 | 2.0 | 1.0 | N/A | 1.0 | N/A | 1.0 | 14.0 | N/A | N/A | N/A | N/A | 14.0 | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2023-06-29 | 2023-07-06 | N | 3001 | 69 | 0.1 | 36.4 | 28.6 | N/A | N/A | 2.1 | 1.8 | 1.2 | N/A | 1.3 | 0.4 | 0.5 | 12.2 | N/A | N/A | N/A | N/A | 12.2 | N/A | 0.5 | 0.1 | N/A | 0.1 | N/A
Top Position | N/A | 2023-06-28 | 2023-07-06 | N | 3200 | N/A | 0.1 | 34.2 | 28.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.3 | N/A | N/A | N/A | N/A | 12.8 | N/A | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2023-07-04 | 2023-07-05 | N | 1000 | N/A | 0.1 | 31.3 | 29.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.8 | N/A | N/A | N/A | N/A | 13.4 | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2023-06-29 | 2023-07-05 | N | 2502 | 70 | 0.1 | 36.4 | 28.5 | N/A | N/A | 2.1 | 1.8 | 1.2 | N/A | 1.3 | 0.4 | 0.5 | 12.2 | N/A | N/A | N/A | N/A | 12.3 | N/A | 0.5 | 0.1 | N/A | 0.1 | N/A
GAD3 | ABC | 2023-06-29 | 2023-07-04 | N | 2001 | 69 | 0.1 | 36.9 | 28.1 | N/A | N/A | 2.1 | 1.8 | 1.2 | N/A | 1.2 | 0.4 | 0.5 | 11.8 | N/A | N/A | N/A | N/A | 12.6 | N/A | 0.5 | 0.1 | N/A | 0.1 | N/A
Opinòmetre | Ara | 2023-06-27 | 2023-07-04 | N | 1521 | N/A | 0.1 | 32.6 | 29.0 | N/A | N/A | 2.2 | 1.8 | N/A | N/A | N/A | N/A | N/A | 12.7 | N/A | N/A | N/A | N/A | 15.5 | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-06-24 | 2023-07-04 | N | 4501 | N/A | 0.1 | 34.3 | 28.8 | N/A | N/A | 2.1 | 2.0 | 1.2 | N/A | 1.1 | N/A | N/A | 13.0 | N/A | N/A | N/A | N/A | 12.6 | N/A | N/A | N/A | N/A | N/A | N/A
DYM | Henneo | 2023-06-30 | 2023-07-03 | N | 1018 | N/A | 0.1 | 32.8 | 27.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.6 | N/A | N/A | N/A | N/A | 13.2 | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2023-06-29 | 2023-07-03 | N | 1503 | 69 | 0.1 | 36.8 | 28.2 | N/A | N/A | 2.1 | 1.8 | 1.2 | N/A | 1.3 | 0.5 | 0.6 | 11.5 | N/A | N/A | N/A | N/A | 12.8 | N/A | 0.5 | 0.1 | N/A | 0.1 | N/A
Sigma Dos | Antena 3 | 2023-06-23 | 2023-07-03 | N | 2880 | N/A | 0.1 | 34.7 | 28.5 | N/A | N/A | 2.4 | 2.2 | N/A | N/A | N/A | N/A | N/A | 13.2 | N/A | N/A | N/A | N/A | 12.8 | N/A | N/A | N/A | N/A | N/A | N/A
SocioMétrica | El Español | 2023-06-25 | 2023-07-02 | N | 800 | N/A | 0.1 | 32.6 | 27.0 | N/A | N/A | 2.5 | 2.1 | 1.6 | N/A | 1.5 | 0.4 | 0.6 | 14.4 | N/A | N/A | N/A | N/A | 12.9 | N/A | 0.6 | 0.3 | N/A | 0.6 | N/A
Cluster17 | El Grand Continent | 2023-06-30 | 2023-07-01 | N | 1447 | N/A | 0.1 | 32.4 | 27.2 | N/A | N/A | 2.4 | 2.7 | 1.3 | N/A | 1.7 | 0.5 | 0.8 | 14.4 | N/A | N/A | N/A | N/A | 14.5 | N/A | 0.7 | 0.3 | N/A | 0.5 | N/A
GAD3 | ABC | 2023-06-29 | 2023-06-30 | N | 1004 | 70 | 0.1 | 36.6 | 28.4 | N/A | N/A | 2.2 | 1.8 | 1.3 | N/A | 1.3 | 0.5 | 0.6 | 11.5 | N/A | N/A | N/A | N/A | 12.6 | N/A | 0.5 | 0.1 | N/A | 0.1 | N/A
Sigma Dos | El Mundo | 2023-06-26 | 2023-06-30 | N | 2109 | N/A | 0.1 | 34.4 | 28.2 | N/A | N/A | 2.7 | 2.4 | 1.5 | N/A | 1.2 | N/A | N/A | 13.5 | N/A | N/A | N/A | N/A | 12.8 | N/A | N/A | N/A | N/A | N/A | N/A
NC Report | La Razón | 2023-06-26 | 2023-06-30 | N | 1000 | 65.2 | 0.1 | 34.4 | 26.3 | N/A | N/A | 3.0 | 2.1 | 1.5 | N/A | 1.3 | N/A | N/A | 13.7 | N/A | N/A | N/A | N/A | 13.3 | N/A | 0.7 | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2023-06-28 | 2023-06-29 | N | 1500 | N/A | 0.1 | 34.2 | 24.5 | N/A | N/A | 2.6 | 2.4 | 1.6 | N/A | 1.4 | 0.4 | 1.0 | 14.6 | N/A | N/A | N/A | N/A | 13.4 | N/A | 0.7 | 0.2 | N/A | 0.1 | N/A
IMOP | El Confidencial | 2023-06-27 | 2023-06-29 | N | 1043 | N/A | 0.1 | 32.6 | 26.2 | N/A | N/A | 2.6 | 2.1 | 1.4 | N/A | 1.3 | 0.3 | 1.1 | 15.3 | N/A | N/A | N/A | N/A | 13.3 | N/A | 0.8 | 1.4 | N/A | 1.0 | N/A
GAD3 | NIUS | 2023-06-27 | 2023-06-28 | N | 1005 | N/A | 0.1 | 36.6 | 28.5 | N/A | N/A | 2.2 | 1.6 | 1.2 | N/A | 1.3 | 0.4 | 0.6 | 11.6 | N/A | N/A | N/A | N/A | 12.7 | N/A | 0.5 | 0.1 | N/A | 0.1 | N/A
40dB | Prisa | 2023-06-23 | 2023-06-26 | N | 2000 | N/A | 0.1 | 30.9 | 28.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.1 | N/A | N/A | N/A | N/A | 12.8 | N/A | N/A | N/A | N/A | N/A | N/A
DYM | Henneo | 2023-06-16 | 2023-06-26 | N | 1522 | N/A | 0.1 | 33.2 | 28.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.2 | N/A | N/A | N/A | N/A | 12.5 | N/A | N/A | N/A | N/A | N/A | N/A
SocioMétrica | El Español | 2023-06-18 | 2023-06-25 | N | 800 | N/A | 0.1 | 32.1 | 25.5 | N/A | N/A | 2.5 | 2.3 | 1.5 | N/A | 1.8 | 0.4 | 0.7 | 14.7 | N/A | N/A | N/A | N/A | 13.5 | N/A | 0.7 | 0.3 | N/A | 0.7 | N/A
NC Report | La Razón | 2023-06-19 | 2023-06-24 | N | 1000 | 65.3 | 0.1 | 34.3 | 25.9 | N/A | N/A | 3.1 | 2.0 | 1.6 | N/A | 1.3 | N/A | N/A | 13.9 | N/A | N/A | N/A | N/A | 13.1 | N/A | 0.8 | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2023-06-22 | 2023-06-23 | N | 1500 | N/A | 0.1 | 34.4 | 24.0 | N/A | N/A | 2.6 | 2.4 | 1.5 | N/A | 1.4 | 0.4 | 1.1 | 14.9 | N/A | N/A | N/A | N/A | 13.1 | N/A | 0.7 | 0.3 | N/A | 0.1 | N/A
InvyMark | laSexta | 2023-06-19 | 2023-06-23 | N | 1200 | N/A | 0.1 | 31.8 | 24.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.0 | N/A | N/A | N/A | N/A | 14.4 | N/A | N/A | N/A | N/A | N/A | N/A
Celeste-Tel | Onda Cero | 2023-06-19 | 2023-06-21 | N | 1100 | 65.1 | 0.1 | 34.2 | 26.7 | N/A | N/A | 3.0 | 2.3 | 1.5 | N/A | 1.3 | 0.3 | 0.9 | 14.0 | N/A | N/A | N/A | N/A | 12.8 | N/A | 0.9 | 0.3 | N/A | 0.1 | N/A
DYM | Henneo | 2023-06-16 | 2023-06-19 | N | 1015 | N/A | 0.1 | 33.8 | 27.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.3 | N/A | N/A | N/A | N/A | 11.9 | N/A | N/A | N/A | N/A | N/A | N/A
NC Report | La Razón | 2023-06-12 | 2023-06-17 | N | 1000 | 64.9 | 0.1 | 34.7 | 25.5 | N/A | N/A | 3.0 | 2.0 | 1.5 | N/A | 1.3 | N/A | N/A | 14.1 | N/A | N/A | N/A | N/A | 12.9 | N/A | 0.8 | N/A | N/A | N/A | N/A
SocioMétrica | El Español | 2023-06-10 | 2023-06-17 | N | 800 | N/A | 0.1 | 32.6 | 25.4 | N/A | N/A | 2.4 | 2.5 | 1.5 | N/A | 1.6 | 0.5 | 0.8 | 14.8 | N/A | N/A | N/A | N/A | 12.9 | N/A | 0.8 | 0.3 | N/A | 0.8 | N/A
InvyMark | laSexta | 2023-06-12 | 2023-06-16 | N | 1200 | N/A | 0.1 | 32.1 | 24.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.8 | N/A | N/A | N/A | N/A | 14.1 | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-06-08 | 2023-06-16 | N | 2977 | N/A | 0.1 | 34.1 | 28.7 | N/A | N/A | 2.9 | 2.4 | 1.6 | N/A | 1.2 | N/A | N/A | 13.2 | N/A | N/A | N/A | N/A | 12.8 | N/A | N/A | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2023-06-14 | 2023-06-15 | N | 1500 | N/A | 0.1 | 34.3 | 23.2 | N/A | N/A | 2.6 | 2.5 | 1.5 | N/A | 1.5 | 0.5 | 1.0 | 15.4 | N/A | N/A | N/A | N/A | 13.3 | N/A | 0.7 | 0.3 | N/A | 0.1 | N/A
IMOP | El Confidencial | 2023-06-12 | 2023-06-15 | N | 1008 | N/A | 0.1 | 33.3 | 24.5 | N/A | N/A | 2.3 | 2.2 | 1.4 | N/A | 1.2 | 0.3 | 0.9 | 14.9 | N/A | N/A | N/A | N/A | 15.0 | N/A | 0.7 | 0.3 | N/A | 0.2 | N/A
Hamalgama Métrica | VozPópuli | 2023-06-12 | 2023-06-15 | N | 1000 | N/A | 0.1 | 32.4 | 25.9 | N/A | N/A | 2.9 | 2.2 | 1.5 | N/A | 1.4 | 0.3 | 0.8 | 15.8 | N/A | N/A | N/A | N/A | 13.1 | N/A | 0.8 | 0.2 | N/A | 0.1 | N/A
40dB | Prisa | 2023-06-12 | 2023-06-14 | N | 2000 | N/A | 0.1 | 33.1 | 27.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.8 | N/A | N/A | N/A | N/A | 13.1 | N/A | N/A | N/A | N/A | N/A | N/A
Sondaxe | La Voz de Galicia | 2023-06-05 | 2023-06-13 | N | 1013 | N/A | 0.1 | 32.6 | 26.6 | N/A | N/A | 2.5 | 2.2 | 2.0 | N/A | 1.7 | N/A | 0.9 | 13.9 | N/A | N/A | N/A | N/A | 13.4 | N/A | N/A | N/A | N/A | N/A | N/A
SocioMétrica | El Español | 2023-06-08 | 2023-06-10 | N | 1010 | N/A | 0.1 | 32.1 | 25.4 | N/A | N/A | 2.4 | 2.5 | 1.6 | N/A | 1.7 | 0.4 | 0.9 | 15.0 | N/A | N/A | N/A | N/A | 12.7 | N/A | 0.7 | 0.3 | N/A | 1.1 | N/A
Data10 | OKDiario | 2023-06-07 | 2023-06-08 | N | 1500 | N/A | 0.1 | 34.1 | 22.8 | N/A | N/A | 2.6 | 2.6 | 1.5 | N/A | 1.6 | 0.6 | 0.9 | 15.6 | N/A | N/A | N/A | N/A | 13.6 | N/A | 0.8 | 0.2 | N/A | 0.1 | N/A
GAD3 | ABC | 2023-06-05 | 2023-06-08 | N | 2007 | 70 | 0.1 | 36.6 | 27.7 | N/A | N/A | 2.3 | 1.9 | 1.3 | N/A | 1.4 | 0.5 | 0.7 | 12.4 | N/A | N/A | N/A | N/A | 11.2 | N/A | 0.8 | 0.1 | N/A | 0.1 | N/A
Sigma Dos | El Mundo | 2023-06-05 | 2023-06-08 | N | 1711 | N/A | 0.1 | 34.6 | 27.6 | N/A | N/A | 3.0 | 2.3 | 1.5 | N/A | 1.1 | N/A | N/A | 11.9 | N/A | N/A | N/A | N/A | 13.6 | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | elDiario.es | 2023-06-01 | 2023-06-08 | N | 1027 | 73.4 | 0.1 | 34.1 | 27.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.1 | N/A | N/A | N/A | N/A | 12.8 | N/A | N/A | N/A | N/A | N/A | N/A
CIS and SocioMétrica | N/A | 2023-05-31 | 2023-06-07 | N | 7407 | N/A | 0.1 | 33.5 | 26.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.9 | N/A | N/A | N/A | N/A | 11.5 | N/A | N/A | N/A | N/A | N/A | N/A
SocioMétrica | El Español | 2023-05-30 | 2023-06-03 | N | 1140 | N/A | 0.1 | 31.8 | 23.9 | N/A | N/A | 2.5 | 2.2 | 1.5 | N/A | 1.5 | 0.4 | 0.7 | 16.1 | N/A | N/A | N/A | N/A | 9.8 | 4.9 | 0.6 | 0.2 | 0.2 | 1.0 | N/A
NC Report | La Razón | 2023-05-30 | 2023-06-03 | N | 1000 | 65.5 | 0.1 | 34.6 | 23.3 | N/A | N/A | 3.1 | 2.0 | 1.5 | N/A | 1.3 | N/A | N/A | 14.3 | N/A | N/A | N/A | N/A | 10.5 | 4.2 | N/A | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2023-06-01 | 2023-06-02 | N | 1500 | N/A | 0.1 | 34.3 | 22.1 | N/A | N/A | 2.6 | 2.6 | 1.5 | N/A | 1.7 | 0.6 | 0.8 | 15.9 | N/A | N/A | N/A | N/A | N/A | N/A | 0.7 | 0.2 | 0.2 | 0.1 | N/A
Target Point | El Debate | 2023-05-31 | 2023-06-02 | N | 1027 | 62.4 | 0.1 | 34.4 | 27.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
InvyMark | laSexta | 2023-05-29 | 2023-06-02 | N | N/A | N/A | 0.1 | 32.6 | 24.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.4 | N/A | N/A | N/A | N/A | 10.5 | 5.2 | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2023-05-31 | 2023-06-01 | N | 800 | N/A | 0.1 | 31.6 | 27.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.0 | N/A | N/A | N/A | N/A | 10.0 | 4.4 | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2023-05-31 | 2023-06-01 | N | 800 | N/A | 0.1 | 32.3 | 27.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
GESOP | Prensa Ibérica | 2023-05-30 | 2023-06-01 | N | 1003 | N/A | 0.1 | 30.7 | 27.6 | N/A | N/A | 1.9 | 1.9 | N/A | N/A | N/A | N/A | N/A | 14.6 | N/A | N/A | N/A | N/A | 13.0 | 1.9 | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-05-29 | 2023-06-01 | N | 2401 | N/A | 0.1 | 34.2 | 25.7 | N/A | N/A | 3.1 | 2.4 | 1.4 | N/A | 1.1 | N/A | N/A | 12.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
IMOP | El Confidencial | 2023-05-29 | 2023-05-30 | N | 914 | N/A | 0.1 | 34.4 | 24.6 | 0.2 | N/A | 2.5 | 1.8 | 1.5 | N/A | 1.3 | 0.3 | 1.0 | 16.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2023-05-29 | 2023-05-29 | N | 1500 | N/A | 0.1 | 33.7 | 21.3 | 1.4 | N/A | 2.5 | 2.6 | 1.5 | N/A | 1.6 | 0.6 | 0.8 | 15.4 | N/A | N/A | N/A | N/A | N/A | N/A | 0.6 | 0.2 | 0.2 | 0.1 | N/A
Simple Lógica | elDiario.es | 2023-05-03 | 2023-05-11 | N | 1013 | 70.2 | 0.1 | 27.9 | 26.2 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.8 | N/A | N/A | N/A | N/A | 10.7 | 7.3 | N/A | N/A | N/A | N/A | N/A
GAD3 | NIUS | 2023-05-08 | 2023-05-09 | N | 1011 | N/A | 0.1 | 32.9 | 26.9 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.2 | N/A | N/A | N/A | N/A | 7.3 | 6.2 | N/A | N/A | N/A | N/A | N/A
CIS | N/A | 2023-05-03 | 2023-05-08 | N | 4030 | N/A | 0.1 | 27.2 | 29.1 | 2.3 | N/A | 2.4 | 1.2 | 0.9 | N/A | 0.9 | 0.5 | 0.8 | 10.6 | N/A | N/A | N/A | N/A | 12.3 | 6.1 | 0.7 | 0.1 | 0.1 | 0.1 | N/A
NC Report | La Razón | 2023-05-06 | 2023-05-06 | N | 1000 | 66.0 | 0.1 | 33.2 | 22.3 | N/A | N/A | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | 13.5 | N/A | N/A | N/A | N/A | 11.6 | 4.9 | N/A | N/A | N/A | N/A | N/A
SocioMétrica | El Español | 2023-05-02 | 2023-05-05 | N | 900 | N/A | 0.1 | 28.9 | 24.1 | 2.4 | N/A | 2.4 | 1.9 | 1.4 | N/A | 1.1 | 0.4 | 0.5 | 16.0 | N/A | N/A | N/A | N/A | 9.9 | 6.7 | 0.7 | 0.3 | 0.2 | 0.6 | N/A
InvyMark | laSexta | 2023-04-24 | 2023-04-28 | N | N/A | N/A | 0.1 | 29.7 | 24.1 | 0.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.0 | N/A | N/A | N/A | N/A | 10.2 | 5.6 | N/A | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2023-04-25 | 2023-04-27 | N | 1500 | N/A | 0.1 | 32.0 | 22.6 | 2.1 | N/A | 3.0 | 2.0 | 1.6 | N/A | 1.5 | N/A | N/A | 15.2 | N/A | N/A | N/A | N/A | 8.8 | 6.7 | N/A | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2023-04-25 | 2023-04-27 | N | 1500 | N/A | 0.1 | 32.8 | 21.2 | 2.1 | N/A | 3.0 | 2.0 | 1.6 | N/A | 1.5 | N/A | N/A | 15.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-04-24 | 2023-04-27 | N | 2059 | N/A | 0.1 | 30.5 | 23.2 | 1.2 | N/A | 3.2 | 2.3 | 1.5 | N/A | 0.9 | N/A | N/A | 13.6 | N/A | N/A | N/A | N/A | 12.8 | 5.9 | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2023-04-21 | 2023-04-25 | N | 2000 | N/A | 0.1 | 28.4 | 25.1 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.5 | N/A | N/A | N/A | N/A | 10.9 | 6.9 | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2023-04-21 | 2023-04-25 | N | 2000 | N/A | 0.1 | 28.8 | 24.8 | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
DYM | Henneo | 2023-04-19 | 2023-04-21 | N | 1008 | N/A | 0.1 | 30.6 | 24.7 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.6 | N/A | N/A | N/A | N/A | 9.2 | 6.8 | N/A | N/A | N/A | N/A | N/A
Celeste-Tel | Onda Cero | 2023-04-17 | 2023-04-21 | N | 1100 | 64.9 | 0.1 | 32.2 | 23.7 | 2.4 | N/A | 3.3 | 2.1 | 1.5 | N/A | 1.1 | 0.4 | 0.7 | 14.5 | N/A | N/A | N/A | N/A | 9.8 | 5.2 | 0.9 | 0.2 | 0.1 | 0.1 | N/A
Hamalgama Métrica | VozPópuli | 2023-04-10 | 2023-04-13 | N | 1000 | N/A | 0.1 | 32.2 | 22.1 | 1.5 | N/A | 3.4 | 2.1 | 1.6 | N/A | 1.2 | 0.5 | 0.7 | 15.6 | N/A | N/A | N/A | N/A | 9.2 | 5.6 | 0.8 | 0.2 | 0.2 | 0.1 | N/A
Simple Lógica | elDiario.es | 2023-04-03 | 2023-04-12 | N | 1014 | 65.3 | 0.1 | 28.1 | 26.2 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.4 | N/A | N/A | N/A | N/A | 9.7 | 6.3 | N/A | N/A | N/A | N/A | N/A
SocioMétrica | El Español | 2023-04-04 | 2023-04-08 | N | 900 | N/A | 0.1 | 31.0 | 23.7 | 2.5 | N/A | 2.5 | 1.8 | 1.2 | N/A | 1.1 | 0.4 | 0.6 | 15.3 | N/A | N/A | N/A | N/A | 7.6 | 8.0 | 0.7 | 0.3 | 0.1 | 0.7 | N/A
NC Report | La Razón | 2023-04-03 | 2023-04-06 | N | 1000 | 65.9 | 0.1 | 33.1 | 21.9 | 1.7 | N/A | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | 13.8 | N/A | N/A | N/A | N/A | 11.8 | 5.1 | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-04-03 | 2023-04-05 | N | 1755 | N/A | 0.1 | 30.2 | 22.7 | 2.0 | N/A | 3.4 | 2.5 | 1.5 | N/A | 0.9 | N/A | N/A | 13.9 | N/A | N/A | N/A | N/A | 12.3 | 5.5 | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-04-03 | 2023-04-05 | N | 1755 | N/A | 0.1 | 30.5 | 22.8 | 2.0 | N/A | 3.4 | 2.5 | 1.5 | N/A | 0.9 | N/A | N/A | 13.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
