Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | SDS | Levica | LMŠ | SD | SMC | NSi | SAB | SNS | DeSUS | SLS | PSS | DD | ZS | PoS | ND | GS | LRG | K | Resni.ca | LIDE | VESNA | Other
Parsifal | TS media | 2022-04-14 | 2022-04-19 | N | 961 | N/A | 0.1 | 29.2 | 3.6 | 5.0 | 7.4 | N/A | 6.6 | 2.4 | 1.3 | 1.2 | N/A | 1.5 | N/A | N/A | 5.0 | 2.7 | 28.4 | N/A | N/A | 1.9 | N/A | 1.8 | 1.9
Ninamedia | Dnevnik and Večer | 2022-04-13 | 2022-04-15 | N | 600 | N/A | 0.1 | 26.1 | 9.1 | 4.1 | 8.9 | N/A | 7.6 | 3.7 | 0.7 | 0.2 | N/A | 0.5 | N/A | N/A | 3.7 | 1.7 | 27.7 | N/A | N/A | 2.2 | N/A | 1.6 | 2.2
Ninamedia | Dnvnk, PrmNvc, Svt24 and Včr | 2022-04-04 | 2022-04-07 | N | 1050 | N/A | 0.1 | 22.7 | 11.8 | 5.6 | 9.7 | N/A | 4.5 | 3.7 | 1.4 | 0.3 | N/A | 1.2 | 0.9 | N/A | 3.3 | 1.7 | 26.8 | N/A | N/A | 2.6 | N/A | 1.3 | 2.4
Mediana | Delo and POP TV | 2022-04-04 | 2022-04-07 | N | 1027 | N/A | 0.1 | 23.0 | 7.2 | 5.7 | 9.8 | N/A | 6.8 | 3.6 | 2.8 | 1.1 | N/A | 3.0 | N/A | N/A | 3.5 | 3.0 | 24.5 | N/A | N/A | 2.1 | N/A | 1.1 | 2.8
Parsifal | Nova24TV | 2022-04-01 | 2022-04-05 | N | 881 | N/A | 0.1 | 28.2 | 5.3 | 2.8 | 10.7 | N/A | 6.1 | 3.6 | 2.4 | 2.4 | N/A | 1.4 | N/A | N/A | 5.0 | 3.9 | 22.7 | N/A | N/A | 1.9 | N/A | 1.2 | 2.3
Mediana | RTV SLO | 2022-03-30 | 2022-03-31 | N | 1025 | N/A | 0.1 | 23.5 | 8.0 | 4.1 | 10.3 | N/A | 6.3 | 3.5 | 4.1 | 1.4 | N/A | 1.6 | 1.4 | N/A | 4.6 | 2.4 | 24.7 | N/A | N/A | 2.1 | 0 | 1.3 | 0.6
Parsifal | Planet TV | 2022-03-22 | 2022-03-24 | N | 1009 | N/A | 0.1 | 30.8 | 5.3 | 9.4 | 10.7 | N/A | 4.6 | 3.2 | 1.3 | 2.4 | N/A | 1.0 | 0.3 | N/A | 4.7 | 1.9 | 20.6 | N/A | N/A | 1.0 | N/A | 0.7 | 2.1
Ninamedia | Dnvnk, PrmNvc, Svt24 and Včr | 2022-03-21 | 2022-03-24 | N | 1050 | N/A | 0.1 | 24.3 | 9.8 | 6.1 | 10.7 | N/A | 6.3 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | 4.1 | N/A | 25.7 | N/A | N/A | N/A | N/A | N/A | 9.2
Ninamedia | Dnevnik and Večer | 2022-03-07 | 2022-03-10 | N | 1050 | N/A | 0.1 | 23.6 | 8.8 | 6.3 | 11.8 | 3.2 | 5.7 | 4.0 | 1.0 | 0.5 | N/A | 1.1 | 0.5 | N/A | 3.9 | 1.6 | 24.6 | N/A | N/A | 1.6 | N/A | 1.5 | 0.4
Mediana | Delo | 2022-03-07 | 2022-03-10 | N | 700 | N/A | 0.1 | 21.5 | 9.5 | 4.8 | 11.0 | N/A | 6.0 | 4.6 | 1.8 | 1.3 | N/A | 2.0 | 0.9 | N/A | 4.5 | 2.0 | 23.5 | N/A | N/A | 3.4 | N/A | 0.6 | 2.6
Mediana | RTV SLO | 2022-02-28 | 2022-03-03 | N | 1031 | N/A | 0.1 | 23.2 | 7.1 | 7.2 | 9.7 | N/A | 7.0 | 5.1 | 2.2 | 1.1 | N/A | 1.3 | 0.5 | N/A | 2.5 | 2.8 | 22.8 | N/A | N/A | 3.2 | 0 | 2.9 | 1.5
Parsifal | Planet TV | 2022-02-23 | 2022-02-25 | N | 657 | N/A | 0.1 | 31.0 | 7.7 | 7.2 | 9.3 | N/A | 5.1 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | 5.9 | 3.1 | 17.7 | N/A | N/A | N/A | N/A | N/A | 10.1
Mediana | POP TV | 2022-02-21 | 2022-02-24 | N | 658 | N/A | 0.1 | 21.6 | 8.0 | 5.7 | 11.3 | N/A | 5.9 | 4.2 | 1.4 | 1.3 | N/A | 2.8 | 0.4 | N/A | 6.3 | 3.3 | 22.9 | N/A | N/A | 2.8 | 0.5 | 0.8 | 0.8
Ninamedia | Dnvnk, PrmNvc, Svt24 and Včr | 2022-02-21 | 2022-02-23 | N | 1050 | N/A | 0.1 | 22.4 | 9.3 | 6.5 | 11.6 | N/A | 4.9 | 4.1 | 1.2 | 0.7 | N/A | 1.8 | 0.5 | N/A | 3.6 | 3.1 | 24.9 | N/A | N/A | 2.8 | 1.3 | 1.1 | 0.4
